Modelo,Velocidade (km/h)
Merc 280,142
Valiant,103
Volvo 142E,83
Fiat 128,94
Merc 240D,155
Merc 280C,132
Ford Pantera L,100
AMC Javelin,167
Volvo 142E,97
Datsun 710,130
Volvo 142E,96
Dodge Challenger,109
Hornet Sportabout,121
Hornet Sportabout,132
Merc 240D,151
Merc 280C,142
AMC Javelin,153
Toyota Corolla,104
Valiant,118
Honda Civic,137
Merc 230,112
Merc 450SLC,115
Toyota Corona,95
Mazda RX4 Wag,107
Merc 280,140
Hornet Sportabout,158
Merc 450SE,148
Ferrari Dino,143
Valiant,98
Merc 280C,144
Volvo 142E,96
Hornet Sportabout,139
Dodge Challenger,88
Fiat X1-9,119
Toyota Corona,98
Duster 360,124
Ford Pantera L,101
Volvo 142E,108
Valiant,100
Merc 240D,138
Fiat X1-9,119
Lotus Europa,112
Volvo 142E,105
Merc 450SE,125
Merc 450SE,145
Merc 280C,142
Fiat 128,93
Camaro Z28,130
Maserati Bora,118
Valiant,101
Fiat X1-9,136
Dodge Challenger,104
Pontiac Firebird,116
Lotus Europa,106
Merc 230,112
Hornet 4 Drive,132
Merc 280,149
Merc 280C,115
Toyota Corona,82
Cadillac Fleetwood,122
Merc 450SLC,120
Volvo 142E,95
Pontiac Firebird,112
Ferrari Dino,129
Ford Pantera L,99
Ford Pantera L,98
Camaro Z28,130
Camaro Z28,161
Hornet Sportabout,150
Merc 280C,135
Merc 240D,131
Merc 280,138
Fiat X1-9,126
Cadillac Fleetwood,146
Maserati Bora,135
Porsche 914-2,95
Duster 360,138
Lotus Europa,84
Merc 450SE,137
Hornet Sportabout,122
Valiant,87
Camaro Z28,152
Merc 280C,146
Datsun 710,123
Honda Civic,157
Ferrari Dino,121
Volvo 142E,103
Toyota Corona,113
Merc 230,120
Honda Civic,120
Toyota Corolla,109
Volvo 142E,95
Datsun 710,150
Hornet 4 Drive,122
Camaro Z28,141
Honda Civic,137
Hornet Sportabout,151
Mazda RX4 Wag,96
Pontiac Firebird,114
Dodge Challenger,104
Fiat 128,102
Dodge Challenger,104
Toyota Corona,77
Valiant,97
Merc 450SLC,129
Merc 450SL,103
Dodge Challenger,99
Chrysler Imperial,141
Merc 240D,155
Duster 360,118
Maserati Bora,99
Honda Civic,136
Maserati Bora,131
Merc 280C,165
Dodge Challenger,88
Merc 450SLC,112
Lincoln Continental,152
Camaro Z28,147
Mazda RX4 Wag,108
Merc 280C,134
Merc 280,148
Ferrari Dino,138
Merc 450SLC,126
Hornet Sportabout,137
Duster 360,156
Mazda RX4 Wag,102
Camaro Z28,140
Camaro Z28,137
Fiat X1-9,124
Lincoln Continental,141
Merc 230,114
